function,operator,K,scenario,node_cost,approx_ops,total_cost
exp,EML,3,x86_cpu,23,1,23
exp,EML,3,fpga_cordic,11,1,11
exp,EML,3,analog,3,1,3
exp,DivLogExp,4,x86_cpu,27,1,27
exp,DivLogExp,4,fpga_cordic,25,1,25
exp,DivLogExp,4,analog,5,1,5
ln,EML,6,x86_cpu,23,2,46
ln,EML,6,fpga_cordic,11,2,22
ln,EML,6,analog,3,2,6
ln,DivLogExp,5,x86_cpu,27,2,54
ln,DivLogExp,5,fpga_cordic,25,2,50
ln,DivLogExp,5,analog,5,2,10
neg,EML,4,x86_cpu,23,1,23
neg,EML,4,fpga_cordic,11,1,11
neg,EML,4,analog,3,1,3
neg,DivLogExp,4,x86_cpu,27,1,27
neg,DivLogExp,4,fpga_cordic,25,1,25
neg,DivLogExp,4,analog,5,1,5
inv,EML,4,x86_cpu,23,1,23
inv,EML,4,fpga_cordic,11,1,11
inv,EML,4,analog,3,1,3
inv,DivLogExp,4,x86_cpu,27,1,27
inv,DivLogExp,4,fpga_cordic,25,1,25
inv,DivLogExp,4,analog,5,1,5
plus,EML,4,x86_cpu,23,1,23
plus,EML,4,fpga_cordic,11,1,11
plus,EML,4,analog,3,1,3
plus,DivLogExp,4,x86_cpu,27,1,27
plus,DivLogExp,4,fpga_cordic,25,1,25
plus,DivLogExp,4,analog,5,1,5
sub,EML,5,x86_cpu,23,2,46
sub,EML,5,fpga_cordic,11,2,22
sub,EML,5,analog,3,2,6
sub,DivLogExp,6,x86_cpu,27,2,54
sub,DivLogExp,6,fpga_cordic,25,2,50
sub,DivLogExp,6,analog,5,2,10
times,EML,6,x86_cpu,23,2,46
times,EML,6,fpga_cordic,11,2,22
times,EML,6,analog,3,2,6
times,DivLogExp,4,x86_cpu,27,1,27
times,DivLogExp,4,fpga_cordic,25,1,25
times,DivLogExp,4,analog,5,1,5
div,EML,4,x86_cpu,23,1,23
div,EML,4,fpga_cordic,11,1,11
div,EML,4,analog,3,1,3
div,DivLogExp,5,x86_cpu,27,2,54
div,DivLogExp,5,fpga_cordic,25,2,50
div,DivLogExp,5,analog,5,2,10
