function,operator,K,scenario,node_cost,approx_ops,total_cost
exp,EML,3,x86_cpu,23,1,23
exp,EML,3,fpga,11,1,11
exp,EML,3,analog,3,1,3
exp,EDL,3,x86_cpu,27,1,27
exp,EDL,3,fpga,25,1,25
exp,EDL,3,analog,5,1,5
exp,DivLogExp,4,x86_cpu,27,1,27
exp,DivLogExp,4,fpga,25,1,25
exp,DivLogExp,4,analog,5,1,5
exp,PowerLogInv,6,x86_cpu,32,2,64
exp,PowerLogInv,6,fpga,40,2,80
exp,PowerLogInv,6,analog,6,2,12
ln,EML,6,x86_cpu,23,2,46
ln,EML,6,fpga,11,2,22
ln,EML,6,analog,3,2,6
ln,EDL,7,x86_cpu,27,3,81
ln,EDL,7,fpga,25,3,75
ln,EDL,7,analog,5,3,15
ln,DivLogExp,5,x86_cpu,27,2,54
ln,DivLogExp,5,fpga,25,2,50
ln,DivLogExp,5,analog,5,2,10
ln,PowerLogInv,3,x86_cpu,32,1,32
ln,PowerLogInv,3,fpga,40,1,40
ln,PowerLogInv,3,analog,6,1,6
neg,EML,4,x86_cpu,23,1,23
neg,EML,4,fpga,11,1,11
neg,EML,4,analog,3,1,3
neg,EDL,4,x86_cpu,27,1,27
neg,EDL,4,fpga,25,1,25
neg,EDL,4,analog,5,1,5
neg,DivLogExp,4,x86_cpu,27,1,27
neg,DivLogExp,4,fpga,25,1,25
neg,DivLogExp,4,analog,5,1,5
neg,PowerLogInv,4,x86_cpu,32,1,32
neg,PowerLogInv,4,fpga,40,1,40
neg,PowerLogInv,4,analog,6,1,6
inv,EML,4,x86_cpu,23,1,23
inv,EML,4,fpga,11,1,11
inv,EML,4,analog,3,1,3
inv,EDL,4,x86_cpu,27,1,27
inv,EDL,4,fpga,25,1,25
inv,EDL,4,analog,5,1,5
inv,DivLogExp,4,x86_cpu,27,1,27
inv,DivLogExp,4,fpga,25,1,25
inv,DivLogExp,4,analog,5,1,5
inv,PowerLogInv,5,x86_cpu,32,2,64
inv,PowerLogInv,5,fpga,40,2,80
inv,PowerLogInv,5,analog,6,2,12
plus,EML,4,x86_cpu,23,1,23
plus,EML,4,fpga,11,1,11
plus,EML,4,analog,3,1,3
plus,EDL,4,x86_cpu,27,1,27
plus,EDL,4,fpga,25,1,25
plus,EDL,4,analog,5,1,5
plus,DivLogExp,4,x86_cpu,27,1,27
plus,DivLogExp,4,fpga,25,1,25
plus,DivLogExp,4,analog,5,1,5
plus,PowerLogInv,4,x86_cpu,32,1,32
plus,PowerLogInv,4,fpga,40,1,40
plus,PowerLogInv,4,analog,6,1,6
sub,EML,5,x86_cpu,23,2,46
sub,EML,5,fpga,11,2,22
sub,EML,5,analog,3,2,6
sub,EDL,5,x86_cpu,27,2,54
sub,EDL,5,fpga,25,2,50
sub,EDL,5,analog,5,2,10
sub,DivLogExp,6,x86_cpu,27,2,54
sub,DivLogExp,6,fpga,25,2,50
sub,DivLogExp,6,analog,5,2,10
sub,PowerLogInv,6,x86_cpu,32,2,64
sub,PowerLogInv,6,fpga,40,2,80
sub,PowerLogInv,6,analog,6,2,12
times,EML,6,x86_cpu,23,2,46
times,EML,6,fpga,11,2,22
times,EML,6,analog,3,2,6
times,EDL,6,x86_cpu,27,2,54
times,EDL,6,fpga,25,2,50
times,EDL,6,analog,5,2,10
times,DivLogExp,4,x86_cpu,27,1,27
times,DivLogExp,4,fpga,25,1,25
times,DivLogExp,4,analog,5,1,5
times,PowerLogInv,5,x86_cpu,32,2,64
times,PowerLogInv,5,fpga,40,2,80
times,PowerLogInv,5,analog,6,2,12
div,EML,4,x86_cpu,23,1,23
div,EML,4,fpga,11,1,11
div,EML,4,analog,3,1,3
div,EDL,4,x86_cpu,27,1,27
div,EDL,4,fpga,25,1,25
div,EDL,4,analog,5,1,5
div,DivLogExp,5,x86_cpu,27,2,54
div,DivLogExp,5,fpga,25,2,50
div,DivLogExp,5,analog,5,2,10
div,PowerLogInv,4,x86_cpu,32,1,32
div,PowerLogInv,4,fpga,40,1,40
div,PowerLogInv,4,analog,6,1,6
