operator,constant,found,total,elapsed_ms
Plus_Exp_Exp,1,3,35,1.96ms
Plus_Exp_Exp,E,3,35,1.76ms
Plus_Exp_Exp,Pi,3,35,1.79ms
Plus_Exp_Exp,-1,3,35,2.01ms
Plus_Exp_Exp,2,3,35,2.00ms
Plus_Exp_Exp,0,3,35,2.95ms
Plus_Exp_Exp,I,2,35,1.89ms
Plus_Exp_Log,1,5,35,13.71ms
Plus_Exp_Log,E,3,35,3.72ms
Plus_Exp_Log,Pi,3,35,4.07ms
Plus_Exp_Log,-1,4,35,15.28ms
Plus_Exp_Log,2,3,35,4.41ms
Plus_Exp_Log,0,2,35,2.78ms
Plus_Exp_Log,I,2,35,4.04ms
Plus_Exp_Sin,1,3,35,3.28ms
Plus_Exp_Sin,E,3,35,3.23ms
Plus_Exp_Sin,Pi,4,35,5.97ms
Plus_Exp_Sin,-1,3,35,3.41ms
Plus_Exp_Sin,2,3,35,3.33ms
Plus_Exp_Sin,0,5,35,24.87ms
Plus_Exp_Sin,I,2,35,3.39ms
Plus_Exp_Tan,1,3,35,3.48ms
Plus_Exp_Tan,E,3,35,3.49ms
Plus_Exp_Tan,Pi,4,35,6.17ms
Plus_Exp_Tan,-1,3,35,3.40ms
Plus_Exp_Tan,2,3,35,3.41ms
Plus_Exp_Tan,0,5,35,26.81ms
Plus_Exp_Tan,I,2,35,3.51ms
Plus_Exp_Sinh,1,3,35,3.34ms
Plus_Exp_Sinh,E,3,35,2.95ms
Plus_Exp_Sinh,Pi,3,35,2.77ms
Plus_Exp_Sinh,-1,3,35,3.55ms
Plus_Exp_Sinh,2,3,35,3.24ms
Plus_Exp_Sinh,0,5,35,19.16ms
Plus_Exp_Sinh,I,2,35,3.35ms
Plus_Exp_Tanh,1,3,35,3.63ms
Plus_Exp_Tanh,E,3,35,3.37ms
Plus_Exp_Tanh,Pi,3,35,3.17ms
Plus_Exp_Tanh,-1,3,35,3.71ms
Plus_Exp_Tanh,2,3,35,3.64ms
Plus_Exp_Tanh,0,5,35,23.57ms
Plus_Exp_Tanh,I,2,35,3.61ms
Plus_Exp_Inv,1,3,35,2.75ms
Plus_Exp_Inv,E,3,35,2.71ms
Plus_Exp_Inv,Pi,3,35,2.66ms
Plus_Exp_Inv,-1,3,35,2.85ms
Plus_Exp_Inv,2,3,35,2.76ms
Plus_Exp_Inv,0,2,35,2.02ms
Plus_Exp_Inv,I,2,35,2.84ms
Plus_Exp_Minus,1,3,35,2.60ms
Plus_Exp_Minus,E,3,35,2.56ms
Plus_Exp_Minus,Pi,3,35,2.38ms
Plus_Exp_Minus,-1,3,35,2.64ms
Plus_Exp_Minus,2,3,35,2.62ms
Plus_Exp_Minus,0,8,35,150.67ms
Plus_Exp_Minus,I,2,35,2.60ms
Plus_Exp_Sqr,1,3,35,2.69ms
Plus_Exp_Sqr,E,3,35,2.55ms
Plus_Exp_Sqr,Pi,3,35,2.49ms
Plus_Exp_Sqr,-1,3,35,2.82ms
Plus_Exp_Sqr,2,3,35,2.68ms
Plus_Exp_Sqr,0,6,35,28.91ms
Plus_Exp_Sqr,I,2,35,2.93ms
Plus_Exp_Sqrt,1,3,35,3.73ms
Plus_Exp_Sqrt,E,3,35,3.32ms
Plus_Exp_Sqrt,Pi,3,35,3.74ms
Plus_Exp_Sqrt,-1,3,35,3.72ms
Plus_Exp_Sqrt,2,3,35,3.52ms
Plus_Exp_Sqrt,0,6,35,43.09ms
Plus_Exp_Sqrt,I,2,35,3.73ms
Plus_Exp_Id,1,3,35,2.47ms
Plus_Exp_Id,E,3,35,2.27ms
Plus_Exp_Id,Pi,3,35,2.23ms
Plus_Exp_Id,-1,3,35,2.55ms
Plus_Exp_Id,2,3,35,2.44ms
Plus_Exp_Id,0,6,35,21.38ms
Plus_Exp_Id,I,2,35,2.77ms
Plus_Exp_LogisticSigmoid,1,3,35,3.59ms
Plus_Exp_LogisticSigmoid,E,3,35,3.91ms
Plus_Exp_LogisticSigmoid,Pi,3,35,3.48ms
Plus_Exp_LogisticSigmoid,-1,3,35,3.68ms
Plus_Exp_LogisticSigmoid,2,3,35,3.57ms
Plus_Exp_LogisticSigmoid,0,3,35,9.76ms
Plus_Exp_LogisticSigmoid,I,2,35,3.96ms
Plus_Log_Log,1,4,35,4.99ms
Plus_Log_Log,E,4,35,3.95ms
Plus_Log_Log,Pi,3,35,2.25ms
Plus_Log_Log,-1,3,35,2.53ms
Plus_Log_Log,2,3,35,2.23ms
